Filename,Filepath,LOC,SLOC,Avg_Cyclomatic_Complexity,Max_Cyclomatic_Complexity,Maintainability_Index,Halstead_Volume,Halstead_Effort
generate_complexity_graphs.py,.\generate_complexity_graphs.py,161,123,7.666666666666667,13,56.94235232456687,196.27562382434076,806.4368022347913
main.py,.\main.py,13,11,2.0,2,72.13824373623434,4.754887502163469,2.3774437510817346
agentic_debugger.py,.\src\agent\agentic_debugger.py,12,10,4.5,5,75.40570535355832,2.0,1.0
ast_optimization_analyzer.py,.\src\agent\ast_optimization_analyzer.py,125,108,3.5,15,32.11181988977566,388.3466359948253,1747.5598619767138
autocomplete.py,.\src\agent\autocomplete.py,248,208,3.25,19,25.36628334410688,1684.9341191661154,13176.711353791261
ml_security_checker.py,.\src\agent\ml_security_checker.py,137,115,6.6,14,36.18517999809361,176.64806144190666,870.6225885351115
neuro_symbolic_analyzer.py,.\src\agent\neuro_symbolic_analyzer.py,46,40,2.5,3,64.07475330798691,4.754887502163469,2.3774437510817346
optimization_hints.py,.\src\agent\optimization_hints.py,169,127,6.4,10,48.66893121153035,242.98647506778866,1822.3985630084148
security_analyzer.py,.\src\agent\security_analyzer.py,93,73,3.6153846153846154,9,48.9243960690667,444.63429801500524,1798.2987164162435
ast_nodes.py,.\src\compiler\ast_nodes.py,88,72,1.4827586206896552,2,100.0,0.0,0.0
diagnostics_engine.py,.\src\compiler\diagnostics_engine.py,18,15,1.2,2,100.0,0.0,0.0
lexer.py,.\src\compiler\lexer.py,59,42,1.2857142857142858,2,51.56360399555297,80.0,173.33333333333331
parser.py,.\src\compiler\parser.py,220,109,1.9310344827586208,7,40.222108467471166,399.9303973207899,654.4315592522017
parsetab.py,.\src\compiler\parsetab.py,107,97,1.0,1,51.57889835572685,12216.299124278461,213189.3176444205
semantic_analyzer.py,.\src\compiler\semantic_analyzer.py,70,56,2.125,5,43.954532522218095,66.41714012534482,132.83428025068963
interpreter.py,.\src\runtime\interpreter.py,166,134,3.272727272727273,13,40.8722666187638,713.6060502682702,15882.831804542357
app_streamlit.py,.\src\ui\app_streamlit.py,336,267,1.0,1,41.197681088627895,343.9441919741497,2073.7811574911966
ast_visualizer.py,.\src\ui\ast_visualizer.py,87,66,7.5,10,51.106382270752576,195.0,953.804347826087
